staff_id,full_name,date_of_birth,hire_date,termination_date,phone
74,Staff_000074,1989-10-26,2023-02-12,,0983713258
75,Staff_000075,1997-07-03,2022-05-02,,0959351818
76,Staff_000076,1993-04-27,2022-02-24,,0997014801
77,Staff_000077,1988-09-05,2025-04-21,,0971264659
78,Staff_000078,2000-12-29,2023-08-17,,0938359429
79,Staff_000079,1995-11-24,2022-05-25,,0969191337
80,Staff_000080,1985-07-04,2023-07-21,2024-01-25,0920789957
81,Staff_000081,1984-10-17,2025-05-16,,0941589156
82,Staff_000082,1988-01-20,2023-08-19,,0934319268
83,Staff_000083,1987-10-24,2025-11-12,,0980748811
84,Staff_000084,1980-04-08,2024-08-01,,0914719156
85,Staff_000085,1994-12-13,2024-03-28,,0927942539
86,Staff_000086,2001-07-08,2022-04-02,,0993612204
87,Staff_000087,1992-11-05,2023-12-27,,0940267507
88,Staff_000088,2001-09-07,2024-07-21,,0933727565
89,Staff_000089,1980-01-23,2025-10-26,,0965460973
90,Staff_000090,1987-04-17,2022-05-02,,0912031862
91,Staff_000091,1992-04-22,2025-12-18,,0914828538
92,Staff_000092,1998-08-07,2022-10-25,,0963515377
93,Staff_000093,1996-04-03,2025-08-08,,0947613454
94,Staff_000094,1980-06-05,2022-04-05,,0967278764
95,Staff_000095,1996-10-12,2024-10-19,,0939983064
96,Staff_000096,1994-10-03,2025-10-30,2025-12-23,0960350409
97,Staff_000097,1985-07-23,2024-12-04,2025-07-01,0974682811
98,Staff_000098,1997-12-31,2024-12-08,,0919705462
99,Staff_000099,1990-09-21,2024-03-27,,0981645241
100,Staff_000100,1985-12-16,2025-05-29,2025-10-01,0971652468
101,Staff_000101,1996-02-12,2023-05-24,2025-02-07,0996756314
102,Staff_000102,2003-12-19,2025-06-23,,0960553216
103,Staff_000103,1991-03-10,2025-08-25,,0935235439
104,Staff_000104,1982-06-13,2022-05-24,,0952934943
105,Staff_000105,1983-02-11,2025-01-04,,0915073167
106,Staff_000106,1997-01-07,2024-01-22,,0967876879
107,Staff_000107,2002-11-13,2024-08-28,,0965528586
108,Staff_000108,1990-05-27,2025-05-04,,0967801954
109,Staff_000109,1988-01-03,2024-12-27,,0971608841
110,Staff_000110,1986-02-18,2025-01-07,,0961763509
111,Staff_000111,1999-11-30,2024-12-22,,0956590378
112,Staff_000112,2000-04-20,2024-01-25,,0979370354
113,Staff_000113,2000-02-12,2023-06-23,,0992415664
114,Staff_000114,2001-07-21,2023-03-11,,0984501185
115,Staff_000115,1991-03-13,2024-09-24,2025-06-28,0978294597
116,Staff_000116,1997-03-12,2023-03-30,,0964931838
117,Staff_000117,1985-03-07,2025-07-16,,0929114274
118,Staff_000118,1982-07-03,2024-12-17,,0947379790
119,Staff_000119,1986-12-20,2022-11-16,,0969662271
120,Staff_000120,2003-11-23,2024-01-05,,0952908507
121,Staff_000121,1988-03-20,2025-11-20,,0911187317
122,Staff_000122,1985-06-08,2025-08-06,,0970693613
123,Staff_000123,1996-05-30,2023-02-04,,0947489726
124,Staff_000124,1990-10-10,2022-10-22,2023-12-27,0952662190
125,Staff_000125,2002-08-08,2024-04-16,,0954710435
126,Staff_000126,2003-06-30,2025-01-11,2025-04-01,0995274101
127,Staff_000127,1993-03-14,2024-09-01,,0949081283
128,Staff_000128,1992-06-30,2022-01-21,,0987792613
129,Staff_000129,2000-09-27,2025-09-19,,0936446046
130,Staff_000130,1995-03-02,2022-11-02,,0951929857
131,Staff_000131,2000-01-20,2025-01-06,,0985367465
132,Staff_000132,1998-01-23,2025-06-22,,0978730580
133,Staff_000133,1982-11-25,2024-10-21,,0979993593
134,Staff_000134,1991-09-18,2024-10-19,,0954019226
135,Staff_000135,1987-08-18,2024-01-31,,0932444845
136,Staff_000136,1991-05-08,2023-06-02,,0977558100
137,Staff_000137,1999-10-25,2022-03-18,,0977277084
138,Staff_000138,1988-06-18,2023-12-02,,0973323925
139,Staff_000139,1983-03-16,2022-08-13,,0972147032
140,Staff_000140,2003-10-07,2025-09-25,2025-11-04,0988208708
141,Staff_000141,2001-06-23,2025-09-30,,0925326745
142,Staff_000142,2001-10-08,2022-06-15,,0956736449
143,Staff_000143,1983-06-18,2023-08-11,,0979990021
144,Staff_000144,1990-01-22,2024-01-23,,0953954195
145,Staff_000145,1998-03-08,2025-03-03,,0943751494
146,Staff_000146,1988-01-18,2024-02-23,,0916398069
147,Staff_000147,1983-09-02,2022-05-03,,0934677114
148,Staff_000148,1989-02-23,2025-05-27,,0910197724
149,Staff_000149,1994-05-11,2023-03-27,,0943257388
150,Staff_000150,1982-06-21,2023-06-02,,0945469059
151,Staff_000151,1998-11-22,2024-12-01,,0989132982
152,Staff_000152,1986-09-03,2022-11-09,2024-07-14,0976783890
153,Staff_000153,1988-03-28,2022-05-03,,0924069542
154,Staff_000154,2002-10-28,2023-10-30,,0916132193
155,Staff_000155,1990-05-29,2023-10-22,,0975814667
156,Staff_000156,1993-05-11,2022-12-05,,0919187561
157,Staff_000157,2001-02-21,2025-02-13,,0934177230
158,Staff_000158,2001-06-01,2024-05-10,,0991405921
159,Staff_000159,1981-03-03,2022-04-06,2023-05-07,0966492392
160,Staff_000160,1990-01-12,2023-05-13,,0948116531
161,Staff_000161,2003-01-04,2025-01-16,,0994656399
162,Staff_000162,1984-03-06,2025-08-01,,0941696138
163,Staff_000163,1995-12-14,2025-07-30,,0962481162
164,Staff_000164,1981-11-03,2025-01-01,2025-09-13,0953559667
165,Staff_000165,1988-10-23,2025-11-19,,0966143899
166,Staff_000166,1984-01-19,2025-03-31,,0920288476
167,Staff_000167,2002-08-20,2022-06-03,,0986990481
168,Staff_000168,1986-08-14,2023-07-29,,0957189266
169,Staff_000169,2002-07-01,2023-03-08,,0922117260
170,Staff_000170,2000-03-07,2025-10-05,,0994113381
171,Staff_000171,2003-05-05,2025-08-05,,0928438670
172,Staff_000172,1995-11-08,2023-06-26,,0983983339
173,Staff_000173,1991-11-08,2025-06-04,,0993054952
174,Staff_000174,1997-03-27,2022-08-29,,0954085689
175,Staff_000175,1999-11-11,2024-09-19,,0926094816
176,Staff_000176,1987-10-01,2024-11-26,,0944211668
177,Staff_000177,1987-03-13,2024-09-16,,0990182142
178,Staff_000178,1996-04-09,2025-07-08,,0974303081
179,Staff_000179,2001-12-05,2023-07-09,,0944029988
180,Staff_000180,1997-07-19,2025-08-11,,0952540414
181,Staff_000181,1982-05-14,2024-09-12,,0984370623
182,Staff_000182,2002-02-07,2022-05-27,,0967052198
183,Staff_000183,1990-09-06,2022-03-06,,0913024888
184,Staff_000184,1999-07-07,2023-01-13,,0935679032
185,Staff_000185,1999-09-30,2023-04-18,,0942497374
186,Staff_000186,1983-12-29,2025-04-02,2025-11-29,0938820679
187,Staff_000187,1998-07-05,2022-05-03,2022-08-23,0979613743
188,Staff_000188,1983-03-21,2025-04-29,,0918888884
189,Staff_000189,1995-04-18,2024-02-04,,0990248932
190,Staff_000190,1988-07-02,2023-10-25,,0991584500
191,Staff_000191,1991-08-28,2023-12-14,,0911364192
192,Staff_000192,1989-02-10,2023-08-29,,0981624272
193,Staff_000193,1997-01-17,2022-08-17,2025-04-10,0959306246
194,Staff_000194,1985-11-24,2025-01-18,,0959872755
195,Staff_000195,1982-01-22,2024-07-12,,0950141369
196,Staff_000196,1987-04-04,2025-08-21,,0910046060
197,Staff_000197,1980-08-06,2024-03-25,,0937194349
198,Staff_000198,1994-05-16,2022-05-13,,0954046140
199,Staff_000199,1989-10-20,2022-03-19,2025-05-28,0920725091
200,Staff_000200,1994-05-03,2022-09-16,,0955160678
201,Staff_000201,1987-08-01,2022-11-02,2022-12-03,0972511239
202,Staff_000202,1998-07-07,2022-11-05,,0991945955
203,Staff_000203,2000-12-27,2022-08-27,,0943592795
204,Staff_000204,1987-09-19,2023-07-15,2024-11-29,0918956650
205,Staff_000205,1993-12-14,2024-01-28,,0970466562
206,Staff_000206,1995-06-07,2022-05-12,,0990703372
207,Staff_000207,1993-09-05,2025-04-07,,0912947288
208,Staff_000208,1989-08-19,2023-05-13,,0975935519
209,Staff_000209,1985-07-14,2023-05-13,,0977199911
210,Staff_000210,2001-12-09,2024-08-05,,0944865358
211,Staff_000211,2003-02-25,2025-12-16,,0941374516
212,Staff_000212,1991-12-27,2022-12-07,,0993368329
213,Staff_000213,1988-12-31,2023-12-12,,0978995762
214,Staff_000214,2001-07-29,2023-07-03,,0930889231
215,Staff_000215,1983-03-23,2023-11-07,,0910571438
216,Staff_000216,1983-01-01,2023-02-04,,0955335841
217,Staff_000217,1984-07-11,2025-07-20,,0976541905
218,Staff_000218,1998-10-01,2022-03-11,2024-12-12,0998435317
219,Staff_000219,1981-05-20,2022-06-22,,0942645720
220,Staff_000220,1999-01-13,2024-06-20,2025-11-09,0919699479
221,Staff_000221,1989-05-24,2025-12-19,,0935691495
222,Staff_000222,1991-05-28,2023-09-23,,0983038045
223,Staff_000223,1988-05-23,2022-08-11,2025-09-11,0973874005
224,Staff_000224,2000-02-10,2025-12-29,,0974023328
225,Staff_000225,1988-07-24,2025-11-04,,0960677464
226,Staff_000226,2001-10-27,2025-03-29,,0924435161
227,Staff_000227,2000-07-02,2024-07-30,,0938787008
228,Staff_000228,1981-07-31,2024-11-25,,0928833672
229,Staff_000229,2003-09-28,2025-11-08,,0918123742
230,Staff_000230,1993-08-12,2025-01-07,,0915396874
231,Staff_000231,1997-12-14,2023-08-17,,0961258389
232,Staff_000232,1983-03-19,2025-01-03,,0933629717
233,Staff_000233,2002-05-07,2024-03-22,,0933533675
234,Staff_000234,1989-07-27,2023-12-11,,0911266657
235,Staff_000235,2000-11-18,2024-10-22,,0916452496
236,Staff_000236,1999-06-27,2025-09-06,,0981212056
237,Staff_000237,1992-11-18,2022-03-29,,0922126786
238,Staff_000238,1998-02-08,2024-10-10,,0934590724
239,Staff_000239,2002-09-18,2023-07-19,,0923959848
240,Staff_000240,1988-11-27,2023-11-23,,0915386435
241,Staff_000241,1999-07-23,2025-09-18,,0917725955
242,Staff_000242,1986-12-16,2025-08-05,,0948430106
243,Staff_000243,2002-05-17,2023-09-06,2023-11-25,0929158210
244,Staff_000244,1999-08-24,2024-12-24,,0982204214
245,Staff_000245,1994-05-30,2024-09-03,,0923619694
246,Staff_000246,1997-01-05,2024-03-29,,0950769740
247,Staff_000247,1995-03-22,2024-03-06,,0952337050
248,Staff_000248,1995-02-13,2023-03-15,2024-07-28,0996808556
249,Staff_000249,1995-09-07,2022-06-20,,0958351752
250,Staff_000250,2001-06-25,2024-03-17,,0966736331
251,Staff_000251,1983-04-16,2022-03-19,,0932974022
252,Staff_000252,1985-12-13,2024-07-04,,0971487554
253,Staff_000253,1980-11-24,2025-01-27,,0976811288
254,Staff_000254,1998-09-18,2025-04-01,,0949534693
255,Staff_000255,1998-11-05,2022-09-10,,0995617940
256,Staff_000256,1991-04-02,2023-11-07,,0949190077
257,Staff_000257,1998-08-05,2024-09-19,2025-12-24,0987015962
258,Staff_000258,2003-04-14,2022-06-26,,0970098482
259,Staff_000259,1997-05-12,2023-02-06,,0933007142
260,Staff_000260,1985-05-22,2024-10-01,2024-12-01,0979565501
261,Staff_000261,1992-09-18,2024-04-16,,0949649073
262,Staff_000262,1995-12-15,2025-05-07,,0977564621
263,Staff_000263,1999-09-14,2024-02-19,,0920757347
264,Staff_000264,1989-10-18,2022-07-17,2024-09-26,0977330387
265,Staff_000265,1984-05-04,2025-03-04,,0982005816
266,Staff_000266,1999-02-25,2024-10-14,,0962952775
267,Staff_000267,1980-02-14,2025-12-13,,0991059851
268,Staff_000268,1986-02-25,2023-07-12,,0939847221
269,Staff_000269,1995-10-28,2022-07-04,,0976296081
270,Staff_000270,1983-05-02,2024-03-16,,0969664140
271,Staff_000271,1984-09-11,2023-12-02,,0969731029
272,Staff_000272,2001-10-01,2023-01-30,,0969375042
273,Staff_000273,2003-04-23,2025-10-19,,0938717475
274,Staff_000274,1997-09-06,2022-09-21,,0914030785
275,Staff_000275,1986-07-29,2023-01-07,2025-11-10,0975638185
276,Staff_000276,1996-02-06,2024-08-01,,0995601155
277,Staff_000277,1990-05-25,2025-04-14,,0977415299
278,Staff_000278,1987-04-26,2025-06-24,,0947196164
279,Staff_000279,1999-05-14,2022-06-29,2025-01-09,0936209916
280,Staff_000280,1986-02-21,2022-06-13,,0978138811
281,Staff_000281,2000-05-08,2024-11-17,2025-04-08,0974140273
282,Staff_000282,2003-12-26,2025-09-15,2025-12-27,0984350082
283,Staff_000283,1991-04-16,2024-07-30,,0944925425
284,Staff_000284,1998-11-09,2022-05-06,2025-05-16,0918129501
285,Staff_000285,1998-11-05,2022-05-26,,0917185781
286,Staff_000286,1999-02-12,2022-02-27,,0943208240
287,Staff_000287,1981-11-22,2024-12-05,,0970145519
288,Staff_000288,1986-06-27,2022-09-28,,0941853952
289,Staff_000289,2001-11-09,2023-07-04,,0924976006
290,Staff_000290,1993-09-20,2024-02-20,,0916692998
291,Staff_000291,1984-07-22,2022-01-26,2024-08-31,0944694151
292,Staff_000292,1991-07-11,2025-05-08,2025-11-02,0985556362
293,Staff_000293,1991-10-21,2024-10-04,,0928442841
294,Staff_000294,1983-10-03,2025-03-12,,0973046212
295,Staff_000295,1992-01-08,2023-03-28,,0991543200
296,Staff_000296,1992-10-27,2024-10-06,,0937467730
297,Staff_000297,2000-01-24,2025-10-28,,0927942874
298,Staff_000298,2000-08-16,2025-02-19,,0992961572
299,Staff_000299,1983-10-17,2024-08-26,2025-11-03,0933497844
300,Staff_000300,1997-07-11,2023-09-08,,0953637181
301,Staff_000301,2003-11-28,2022-01-17,,0933134454
302,Staff_000302,1984-06-24,2023-05-22,,0915097432
303,Staff_000303,1986-06-13,2022-05-22,,0978562403
304,Staff_000304,1983-05-26,2022-09-09,,0971777479
305,Staff_000305,1996-07-05,2023-11-13,,0950664236
306,Staff_000306,1994-01-21,2025-07-19,2025-12-11,0925519768
307,Staff_000307,1999-02-07,2024-10-22,2025-10-11,0981267988
308,Staff_000308,1989-03-20,2024-05-10,,0972592166
309,Staff_000309,1983-08-24,2025-01-29,,0986821198
310,Staff_000310,1998-01-26,2025-08-28,,0911793480
311,Staff_000311,1986-04-08,2024-03-12,,0914076515
312,Staff_000312,1994-10-27,2023-06-07,,0914801732
313,Staff_000313,1984-10-19,2025-09-10,,0919354644
314,Staff_000314,1991-12-04,2024-01-26,,0950916611
315,Staff_000315,1995-12-19,2024-10-20,2025-08-24,0987699238
316,Staff_000316,1992-11-09,2022-02-08,,0917204788
317,Staff_000317,1999-12-26,2022-01-15,,0948056384
318,Staff_000318,1990-06-23,2024-01-12,2024-10-09,0973291090
319,Staff_000319,1999-07-16,2023-03-24,,0954634338
320,Staff_000320,2003-09-07,2023-06-21,,0999315118
321,Staff_000321,1992-04-07,2022-09-16,,0971615950
322,Staff_000322,1996-07-14,2023-03-10,,0953617468
323,Staff_000323,1981-02-24,2024-11-13,,0976583698
324,Staff_000324,2001-01-26,2023-02-05,,0997461983
325,Staff_000325,1987-12-12,2025-08-02,,0965544486
326,Staff_000326,1996-04-13,2023-12-06,,0996948515
327,Staff_000327,1999-08-02,2024-08-09,,0924441168
328,Staff_000328,1984-02-10,2022-11-14,,0970773612
329,Staff_000329,1986-10-24,2023-10-14,,0985229487
330,Staff_000330,2000-06-09,2025-02-19,,0996181924
331,Staff_000331,1984-05-24,2025-11-21,2025-12-31,0988809579
332,Staff_000332,1989-04-30,2022-06-19,2024-08-10,0941520608
333,Staff_000333,1997-07-10,2023-07-20,,0921636989
334,Staff_000334,2002-12-15,2023-12-27,,0985671542
335,Staff_000335,1984-05-01,2023-01-27,,0944557744
336,Staff_000336,1991-02-22,2023-05-17,,0975488715
337,Staff_000337,1981-06-26,2025-11-01,,0977813769
338,Staff_000338,1990-04-12,2025-04-19,2025-06-14,0919168784
339,Staff_000339,1988-10-23,2024-07-01,,0943803409
340,Staff_000340,2003-02-21,2023-12-31,,0978089969
341,Staff_000341,1999-06-19,2024-05-14,,0998192282
342,Staff_000342,1987-06-09,2022-09-04,,0981751069
343,Staff_000343,1988-12-23,2023-10-02,,0910356092
344,Staff_000344,1984-07-02,2024-09-07,,0994926423
345,Staff_000345,1995-09-01,2024-09-10,,0941472753
346,Staff_000346,1988-07-03,2022-06-09,,0941558213
347,Staff_000347,2002-03-31,2025-02-03,,0967493255
348,Staff_000348,2003-12-24,2024-10-05,,0993699371
349,Staff_000349,1981-09-13,2024-08-02,,0964115498
350,Staff_000350,1988-04-06,2025-04-18,,0965452995
351,Staff_000351,1987-05-22,2023-06-16,,0918941846
352,Staff_000352,1981-07-04,2022-04-21,2022-11-14,0926327531
353,Staff_000353,1996-02-11,2025-03-04,,0991909582
354,Staff_000354,1986-08-19,2024-11-24,,0940469966
355,Staff_000355,1980-10-08,2025-03-31,,0942169166
356,Staff_000356,1992-09-08,2023-08-07,,0997299893
357,Staff_000357,1994-09-22,2024-12-25,2025-02-12,0944063373
358,Staff_000358,1991-09-26,2023-10-21,,0978132273
359,Staff_000359,1999-02-18,2025-12-19,,0921366817
360,Staff_000360,1987-08-29,2023-09-13,2024-09-02,0947126341
361,Staff_000361,1983-02-04,2023-01-21,2023-10-04,0924700622
362,Staff_000362,1991-01-04,2023-08-09,,0965464172
363,Staff_000363,1983-08-28,2023-10-24,,0917485739
364,Staff_000364,1980-03-09,2025-12-30,,0916394214
365,Staff_000365,1982-09-10,2025-09-15,,0961345637
366,Staff_000366,1987-10-20,2023-08-05,,0955235229
367,Staff_000367,1980-11-06,2024-01-29,,0972242851
368,Staff_000368,1989-02-07,2024-11-07,,0935766413
369,Staff_000369,1980-07-04,2023-11-02,,0998323975
370,Staff_000370,1985-03-31,2024-11-27,2025-07-14,0970238725
371,Staff_000371,1988-06-29,2023-04-09,,0954531760
372,Staff_000372,2003-02-04,2024-11-22,,0947865176
373,Staff_000373,1983-06-13,2025-11-28,,0977131625
374,Staff_000374,1987-07-29,2025-11-09,,0983132520
375,Staff_000375,1990-09-13,2023-08-27,2025-01-27,0972083190
376,Staff_000376,1989-06-10,2024-06-18,,0945607171
377,Staff_000377,1980-04-22,2024-05-14,,0938233448
378,Staff_000378,2003-02-12,2024-04-01,2025-04-11,0936658304
379,Staff_000379,2001-12-11,2023-04-11,2025-01-29,0957772468
380,Staff_000380,2000-02-11,2022-02-16,2024-01-09,0969236071
381,Staff_000381,1992-01-15,2022-11-17,,0984479752
382,Staff_000382,1983-03-25,2024-08-17,,0964781184
383,Staff_000383,2001-04-05,2025-08-24,,0922864665
384,Staff_000384,1986-04-02,2025-10-16,,0957134778
385,Staff_000385,1993-09-13,2025-12-24,,0946598061
386,Staff_000386,1999-07-05,2024-09-17,,0972410713
387,Staff_000387,1981-04-13,2022-08-19,2024-12-03,0983274710
388,Staff_000388,2001-02-27,2023-07-28,,0953658518
389,Staff_000389,1989-01-09,2023-09-19,,0931760393
390,Staff_000390,1997-02-27,2022-09-19,,0917620618
391,Staff_000391,1999-07-15,2025-09-07,,0933656252
392,Staff_000392,2003-10-07,2025-05-24,2025-07-26,0937081756
393,Staff_000393,2001-02-10,2023-06-23,,0928282234
394,Staff_000394,1981-01-08,2024-08-08,,0911197987
395,Staff_000395,2001-01-18,2022-07-25,,0935231319
396,Staff_000396,1996-01-10,2022-08-11,,0967075624
397,Staff_000397,1993-10-04,2025-07-16,,0979112642
398,Staff_000398,1988-07-01,2025-04-12,,0928739461
399,Staff_000399,1988-10-04,2025-12-28,,0987694546
400,Staff_000400,1980-06-25,2025-01-20,,0985240287
401,Staff_000401,1983-09-30,2025-08-22,,0950453821
402,Staff_000402,1990-06-03,2023-09-01,,0958765571
403,Staff_000403,1988-03-28,2023-09-18,,0985403166
404,Staff_000404,1987-06-10,2025-04-25,,0927515993
405,Staff_000405,1989-06-08,2025-11-09,2025-12-30,0964992274
406,Staff_000406,1996-08-24,2022-11-29,,0918086246
407,Staff_000407,1986-09-13,2023-11-05,,0986470149
408,Staff_000408,1992-10-23,2025-09-03,,0981921070
409,Staff_000409,1986-02-09,2025-11-13,,0927655798
410,Staff_000410,1980-08-23,2024-07-31,,0986355012
411,Staff_000411,1996-12-23,2025-07-08,2025-08-13,0973802638
412,Staff_000412,1990-12-04,2022-08-11,,0954756214
413,Staff_000413,1995-08-23,2025-03-24,,0977947618
414,Staff_000414,1995-01-26,2024-07-25,2025-01-18,0957258730
415,Staff_000415,1987-05-29,2025-02-23,,0928014087
416,Staff_000416,1980-04-13,2022-11-30,,0912152630
417,Staff_000417,1995-11-25,2022-03-17,,0961364159
418,Staff_000418,1999-05-24,2022-10-08,,0941407966
419,Staff_000419,1990-02-14,2023-10-15,,0912516167
420,Staff_000420,1982-03-15,2024-06-25,,0931347219
421,Staff_000421,2002-03-21,2022-04-17,2024-04-09,0941108680
422,Staff_000422,1986-10-28,2025-07-06,,0936988995
423,Staff_000423,2002-01-19,2022-04-11,,0954475264
424,Staff_000424,1982-11-30,2024-08-31,2025-04-29,0913655016
425,Staff_000425,1994-01-18,2022-11-29,,0930792614
426,Staff_000426,1983-12-29,2025-06-10,,0935155095
427,Staff_000427,2001-10-05,2024-07-08,2025-10-13,0936587589
428,Staff_000428,1991-09-15,2022-08-23,,0996385258
429,Staff_000429,1984-08-14,2023-05-11,,0937632630
430,Staff_000430,1993-09-26,2023-10-21,2025-02-04,0930151115
431,Staff_000431,1986-08-14,2024-08-31,,0911157920
432,Staff_000432,1998-12-13,2023-12-31,,0939519102
433,Staff_000433,1991-12-01,2024-07-28,,0940486722
434,Staff_000434,1996-03-18,2024-12-14,2025-06-13,0929518311
435,Staff_000435,1998-09-15,2025-06-06,,0951507897
436,Staff_000436,1987-05-23,2022-01-04,,0978478634
437,Staff_000437,2001-10-11,2022-10-27,2023-05-17,0971958979
438,Staff_000438,1998-12-23,2025-04-04,,0919994202
439,Staff_000439,1998-09-06,2024-08-05,,0922575529
440,Staff_000440,1981-12-11,2023-09-01,,0925908782
441,Staff_000441,1995-08-27,2023-08-18,,0977559231
442,Staff_000442,1992-05-04,2022-05-28,2024-07-31,0978149810
443,Staff_000443,1991-06-12,2024-02-24,,0933376540
444,Staff_000444,1983-07-24,2022-04-03,,0982118683
445,Staff_000445,1988-03-03,2025-04-22,,0977148211
446,Staff_000446,1997-11-16,2025-06-01,,0972027538
447,Staff_000447,1994-05-01,2025-08-05,,0936463491
448,Staff_000448,1995-07-17,2024-02-18,,0963943261
449,Staff_000449,1997-10-08,2023-05-20,,0989581410
450,Staff_000450,1989-01-26,2024-11-17,,0935685764
451,Staff_000451,1996-08-05,2022-01-30,,0941683927
452,Staff_000452,2002-08-22,2025-12-05,,0988386119
453,Staff_000453,1981-05-28,2025-03-19,,0944168255
454,Staff_000454,1980-05-31,2025-04-07,,0982927920
455,Staff_000455,2001-12-25,2024-07-15,,0926855346
456,Staff_000456,1983-06-02,2025-12-26,,0944530230
457,Staff_000457,1997-08-08,2024-02-03,,0913542608
458,Staff_000458,1998-06-26,2025-03-31,,0985239375
459,Staff_000459,1988-12-17,2022-09-29,,0953791555
460,Staff_000460,2003-11-07,2024-08-17,,0921473409
461,Staff_000461,1993-09-20,2023-05-29,2024-01-11,0942725537
462,Staff_000462,1985-01-19,2022-04-06,,0996921483
463,Staff_000463,1987-08-17,2025-07-20,,0957203707
464,Staff_000464,1987-06-15,2022-04-25,2025-08-19,0911683334
