customer_id,first_name,last_name,date_of_birth,occupation,income,phone
109,First_109,Last_109,1983-03-24,Office Worker,1213.21,0937218687
110,First_110,Last_110,2001-02-08,Student,1968.79,0932639136
111,First_111,Last_111,1980-05-20,Manual Worker,1307.71,0916463026
112,First_112,Last_112,1984-05-04,Teacher,1945.29,0934545479
113,First_113,Last_113,1981-09-02,Manual Worker,460.19,0962625890
114,First_114,Last_114,1994-03-29,Office Worker,2646.77,0969448651
116,First_116,Last_116,1984-12-14,Office Worker,777.97,0967414542
117,First_117,Last_117,2001-02-17,Freelancer,1086.58,0941485520
118,First_118,Last_118,2002-08-31,Office Worker,1404.58,0966499473
119,First_119,Last_119,1985-06-06,Manual Worker,307.09,0996760470
120,First_120,Last_120,1991-06-09,Driver,1697.28,0981579633
121,First_121,Last_121,1989-09-18,Freelancer,912.53,0979068971
122,First_122,Last_122,2000-10-07,Retired/Unemployed,722.96,0944979969
123,First_123,Last_123,1989-05-06,Student,583.58,0935666305
124,First_124,Last_124,1984-11-08,Family Business Owner,2543.11,0964576743
125,First_125,Last_125,2003-10-29,Student,2574.07,0946702703
126,First_126,Last_126,1983-07-27,Driver,252.63,0975627048
128,First_128,Last_128,1988-12-03,Driver,428.08,0987329935
129,First_129,Last_129,1994-07-19,Freelancer,1166.7,0924139646
130,First_130,Last_130,1981-03-01,Artist,2485.08,0935056334
131,First_131,Last_131,2002-01-29,Healthcare Worker,1552.76,0971163910
132,First_132,Last_132,1994-01-04,Student,1513.4,0923882058
133,First_133,Last_133,1981-04-09,Healthcare Worker,958.28,0962280817
134,First_134,Last_134,1980-01-10,Office Worker,443.13,0993677263
135,First_135,Last_135,1990-02-17,Teacher,2304.68,0965724177
136,First_136,Last_136,1995-07-27,Family Business Owner,2698.01,0983284749
138,First_138,Last_138,1995-10-18,Teacher,1833.26,0945555683
139,First_139,Last_139,2003-01-27,Teacher,284.81,0969287146
140,First_140,Last_140,1994-06-13,Retired/Unemployed,2403.48,0985640921
141,First_141,Last_141,1994-01-02,Office Worker,2517.59,0915188831
142,First_142,Last_142,1981-10-24,Teacher,1982.71,0927873159
144,First_144,Last_144,1998-05-27,Student,2486.54,0992210919
145,First_145,Last_145,1989-12-01,Teacher,2866.06,0974357848
146,First_146,Last_146,2001-02-08,Retired/Unemployed,2583.77,0996627412
147,First_147,Last_147,2003-10-17,Family Business Owner,2560.38,0946760345
148,First_148,Last_148,1983-08-30,Healthcare Worker,2276.31,0982542231
149,First_149,Last_149,1998-06-21,Artist,2295.45,0943338737
151,First_151,Last_151,2000-08-14,Artist,1333.94,0913267353
152,First_152,Last_152,2000-12-25,Freelancer,1475.31,0980053016
153,First_153,Last_153,1981-08-13,Retired/Unemployed,2339.63,0950435220
154,First_154,Last_154,1982-04-16,Artist,2459.59,0978678499
155,First_155,Last_155,1983-03-03,Family Business Owner,1173.99,0922370503
157,First_157,Last_157,2001-03-19,Retired/Unemployed,250.8,0969592647
158,First_158,Last_158,1982-12-14,Freelancer,1336.85,0943641661
159,First_159,Last_159,1995-04-12,Office Worker,1025.58,0949081358
160,First_160,Last_160,1989-11-04,Office Worker,1498.58,0945051793
161,First_161,Last_161,1994-09-04,Office Worker,2031.94,0965191831
162,First_162,Last_162,1984-08-21,Healthcare Worker,681.8,0929349415
163,First_163,Last_163,1993-12-31,Driver,596.67,0983308498
164,First_164,Last_164,1986-11-02,Freelancer,2046.91,0970452330
165,First_165,Last_165,2001-03-01,Teacher,2740.69,0944620121
166,First_166,Last_166,2003-02-10,Teacher,2800.16,0933708560
167,First_167,Last_167,1999-05-12,Retired/Unemployed,1268.24,0937852324
168,First_168,Last_168,1999-09-01,Student,1531.99,0932060349
169,First_169,Last_169,1989-08-03,Retired/Unemployed,374.73,0959436470
170,First_170,Last_170,1992-05-26,Driver,2002.9,0947874462
171,First_171,Last_171,1997-05-28,Family Business Owner,2841.42,0979428146
172,First_172,Last_172,1995-10-06,Family Business Owner,2659.72,0919830433
173,First_173,Last_173,2000-10-05,Retired/Unemployed,1660.49,0912462735
174,First_174,Last_174,1988-10-17,Office Worker,1681.24,0999179169
175,First_175,Last_175,1992-11-12,Healthcare Worker,693.81,0920389976
176,First_176,Last_176,1981-03-06,Retired/Unemployed,1043.39,0954323936
177,First_177,Last_177,1999-02-26,Manual Worker,1751.93,0965088070
178,First_178,Last_178,1981-05-22,Healthcare Worker,572.85,0939168466
179,First_179,Last_179,1994-07-25,Family Business Owner,1828.76,0997860958
180,First_180,Last_180,1997-11-21,Healthcare Worker,1106.3,0952121793
182,First_182,Last_182,1993-11-13,Family Business Owner,1336.07,0911606645
185,First_185,Last_185,1986-11-11,Driver,839.29,0986173677
186,First_186,Last_186,1989-07-26,Freelancer,929.82,0931255742
187,First_187,Last_187,1983-06-28,Retired/Unemployed,295.67,0999238736
189,First_189,Last_189,1995-09-26,Driver,961.94,0939713777
191,First_191,Last_191,1984-07-03,Family Business Owner,2480.65,0988658132
192,First_192,Last_192,1987-02-12,Manual Worker,2636.46,0920046911
193,First_193,Last_193,1989-01-18,Manual Worker,1458.42,0934536616
194,First_194,Last_194,1994-02-06,Healthcare Worker,1234.66,0998031694
195,First_195,Last_195,1991-08-25,Freelancer,1493.83,0921861060
196,First_196,Last_196,1992-03-25,Manual Worker,989.94,0915849502
198,First_198,Last_198,1999-11-30,Manual Worker,2462.06,0969941824
199,First_199,Last_199,1987-02-21,Freelancer,1943.21,0911086578
200,First_200,Last_200,1995-07-29,Family Business Owner,1590.03,0967884160
201,First_201,Last_201,1994-10-13,Artist,1946.43,0990440373
202,First_202,Last_202,1987-08-13,Student,633.69,0942533339
203,First_203,Last_203,1991-09-17,Teacher,1726.27,0925797852
204,First_204,Last_204,1980-12-01,Manual Worker,986.5,0971009592
205,First_205,Last_205,2003-04-23,Driver,738.04,0963420155
206,First_206,Last_206,1987-06-18,Teacher,2363.81,0970976816
207,First_207,Last_207,1997-08-12,Healthcare Worker,1983.19,0956142766
208,First_208,Last_208,1980-08-21,Family Business Owner,1430.39,0999632817
209,First_209,Last_209,1994-09-17,Freelancer,1590.24,0946026332
210,First_210,Last_210,2003-02-13,Manual Worker,2319.87,0916228941
211,First_211,Last_211,2000-07-14,Driver,1816.84,0978870779
212,First_212,Last_212,1991-04-30,Manual Worker,1589.2,0969098299
213,First_213,Last_213,2001-05-29,Office Worker,1978.33,0985763732
214,First_214,Last_214,1980-07-31,Retired/Unemployed,213.4,0910696938
215,First_215,Last_215,1998-05-05,Teacher,2089.74,0981039504
216,First_216,Last_216,1981-12-02,Office Worker,2824.77,0951021018
218,First_218,Last_218,1997-08-05,Family Business Owner,604.34,0973167159
219,First_219,Last_219,1988-03-10,Student,2355.42,0998655307
221,First_221,Last_221,1998-01-30,Healthcare Worker,1538.48,0985692327
222,First_222,Last_222,1982-09-15,Teacher,2007.1,0930883479
224,First_224,Last_224,1997-01-09,Family Business Owner,955.98,0960062772
225,First_225,Last_225,1999-03-20,Manual Worker,924.82,0964240095
226,First_226,Last_226,1991-02-05,Manual Worker,557.19,0947593389
227,First_227,Last_227,2002-05-22,Office Worker,1640.14,0925393964
228,First_228,Last_228,2003-03-17,Office Worker,1728.59,0992796184
229,First_229,Last_229,1988-07-11,Family Business Owner,1379.72,0932017687
230,First_230,Last_230,1985-07-29,Teacher,2808.85,0952602270
231,First_231,Last_231,1990-03-15,Artist,2188.98,0964226627
232,First_232,Last_232,2002-06-03,Manual Worker,922.72,0911803016
234,First_234,Last_234,1986-05-01,Family Business Owner,2519.38,0920851659
235,First_235,Last_235,1996-02-25,Healthcare Worker,2219.94,0970288144
236,First_236,Last_236,1985-06-03,Student,2827.99,0938412494
237,First_237,Last_237,1988-10-20,Student,2432.22,0919962745
238,First_238,Last_238,1993-01-20,Artist,731.19,0966604181
239,First_239,Last_239,1991-06-06,Teacher,1055.94,0933954892
240,First_240,Last_240,1988-08-10,Manual Worker,365.85,0971316450
241,First_241,Last_241,1981-05-24,Teacher,395.41,0929496783
242,First_242,Last_242,1987-02-20,Artist,1603.45,0926126059
243,First_243,Last_243,1997-09-27,Artist,355.0,0911036603
245,First_245,Last_245,1998-07-10,Healthcare Worker,1413.7,0914404242
246,First_246,Last_246,1994-12-01,Healthcare Worker,1296.85,0980017493
248,First_248,Last_248,1995-04-24,Driver,2645.8,0913919888
249,First_249,Last_249,1991-11-20,Driver,1507.53,0984826917
250,First_250,Last_250,1997-09-06,Office Worker,2318.56,0949852508
251,First_251,Last_251,1985-01-02,Office Worker,1085.38,0936565561
252,First_252,Last_252,1997-04-25,Student,1492.72,0921750059
253,First_253,Last_253,1997-03-12,Retired/Unemployed,2143.85,0946203902
254,First_254,Last_254,1986-05-28,Healthcare Worker,1501.33,0991998534
255,First_255,Last_255,1982-01-30,Driver,1616.03,0993345444
256,First_256,Last_256,1990-10-01,Driver,240.73,0998949244
257,First_257,Last_257,1995-04-26,Manual Worker,1402.66,0934387407
258,First_258,Last_258,1988-07-22,Driver,1762.89,0943075328
259,First_259,Last_259,1985-01-14,Office Worker,1772.47,0922552019
260,First_260,Last_260,1995-05-30,Office Worker,796.03,0950926444
261,First_261,Last_261,1995-11-17,Freelancer,218.8,0934523244
263,First_263,Last_263,1997-03-03,Healthcare Worker,543.84,0982987686
264,First_264,Last_264,1988-12-28,Office Worker,1354.07,0983145850
265,First_265,Last_265,1998-03-31,Driver,1485.52,0988908016
267,First_267,Last_267,1998-10-23,Manual Worker,2767.3,0923404455
268,First_268,Last_268,1992-04-01,Artist,2855.82,0972771076
269,First_269,Last_269,1981-10-31,Student,2438.23,0998956138
270,First_270,Last_270,1984-05-12,Student,2614.48,0967000032
271,First_271,Last_271,1989-06-22,Student,2354.14,0913814677
273,First_273,Last_273,1991-04-12,Retired/Unemployed,699.48,0995397370
274,First_274,Last_274,1982-09-27,Manual Worker,2206.41,0920634997
275,First_275,Last_275,2000-06-28,Manual Worker,2834.05,0913432678
276,First_276,Last_276,1981-03-30,Driver,2444.84,0976645786
277,First_277,Last_277,1986-07-07,Teacher,1934.24,0916377744
278,First_278,Last_278,1998-05-03,Retired/Unemployed,2830.05,0963989851
279,First_279,Last_279,1981-07-29,Manual Worker,1323.22,0952389314
280,First_280,Last_280,1993-12-31,Student,2924.4,0955104198
281,First_281,Last_281,1983-03-11,Artist,2634.95,0921702127
282,First_282,Last_282,1988-09-06,Family Business Owner,882.06,0996901667
283,First_283,Last_283,1997-11-04,Student,2450.04,0961662490
284,First_284,Last_284,2003-01-03,Healthcare Worker,2244.97,0947368925
285,First_285,Last_285,1985-07-25,Family Business Owner,2932.28,0943267569
286,First_286,Last_286,1983-11-28,Freelancer,394.82,0955513365
287,First_287,Last_287,1981-08-05,Driver,2148.86,0931929472
288,First_288,Last_288,1981-04-27,Student,1329.67,0972064399
289,First_289,Last_289,1983-02-16,Driver,404.49,0949823349
290,First_290,Last_290,1986-07-11,Teacher,772.0,0986659405
291,First_291,Last_291,1994-06-26,Student,597.35,0920950640
292,First_292,Last_292,1982-03-11,Artist,1968.4,0972608405
293,First_293,Last_293,1990-03-23,Freelancer,2241.58,0964490771
294,First_294,Last_294,1991-09-07,Office Worker,1661.3,0978205911
295,First_295,Last_295,1992-09-03,Teacher,1500.24,0913391726
296,First_296,Last_296,1982-06-14,Retired/Unemployed,398.69,0977783842
297,First_297,Last_297,1990-09-06,Student,817.51,0969911787
298,First_298,Last_298,1992-07-03,Freelancer,2100.21,0982295453
299,First_299,Last_299,1995-09-14,Manual Worker,2683.11,0988151854
300,First_300,Last_300,1996-09-19,Teacher,1825.42,0925097312
301,First_301,Last_301,1999-12-03,Artist,481.9,0964927615
302,First_302,Last_302,1981-02-21,Manual Worker,1377.67,0919920667
304,First_304,Last_304,2000-08-24,Family Business Owner,283.82,0953364820
306,First_306,Last_306,1994-06-27,Office Worker,2506.22,0964299047
309,First_309,Last_309,1995-11-15,Artist,2303.04,0916296277
310,First_310,Last_310,1989-03-01,Teacher,1700.43,0951596922
312,First_312,Last_312,1995-09-12,Healthcare Worker,686.69,0990803458
313,First_313,Last_313,1992-06-26,Healthcare Worker,1135.42,0945046710
314,First_314,Last_314,2003-10-01,Freelancer,1231.63,0920735185
315,First_315,Last_315,1999-09-01,Family Business Owner,879.78,0982769988
316,First_316,Last_316,1983-10-09,Driver,1479.26,0918863967
317,First_317,Last_317,2000-12-31,Retired/Unemployed,2515.77,0983264298
318,First_318,Last_318,1997-04-21,Office Worker,1080.9,0959101448
320,First_320,Last_320,1988-11-22,Family Business Owner,1772.71,0966311334
321,First_321,Last_321,1981-12-26,Driver,360.66,0950606143
322,First_322,Last_322,1998-12-26,Student,1703.59,0925160134
323,First_323,Last_323,1980-10-16,Driver,313.93,0972170434
324,First_324,Last_324,1997-11-27,Healthcare Worker,2191.49,0948091425
325,First_325,Last_325,1996-06-07,Student,1438.15,0923818577
326,First_326,Last_326,1986-09-04,Family Business Owner,1953.63,0984033107
327,First_327,Last_327,1992-07-07,Artist,575.4,0991707246
329,First_329,Last_329,2001-03-19,Driver,2758.96,0929817362
331,First_331,Last_331,1990-01-03,Driver,736.56,0995376186
333,First_333,Last_333,1993-04-23,Artist,2617.09,0947696928
334,First_334,Last_334,1992-07-29,Healthcare Worker,1885.7,0918606595
336,First_336,Last_336,1993-03-07,Student,2793.95,0981867862
337,First_337,Last_337,1984-02-15,Manual Worker,1570.03,0921262883
338,First_338,Last_338,1996-12-23,Healthcare Worker,2583.95,0978972269
339,First_339,Last_339,2003-05-03,Freelancer,1511.56,0970761094
340,First_340,Last_340,1999-12-26,Manual Worker,2703.98,0954295151
342,First_342,Last_342,1987-08-27,Office Worker,1575.14,0978392340
343,First_343,Last_343,1984-04-18,Retired/Unemployed,368.75,0952215780
345,First_345,Last_345,1989-07-20,Driver,649.43,0974298707
346,First_346,Last_346,1990-12-15,Freelancer,2196.27,0920375157
347,First_347,Last_347,1984-04-14,Retired/Unemployed,2229.82,0965753523
348,First_348,Last_348,1981-04-06,Artist,871.25,0937207068
350,First_350,Last_350,1993-07-14,Artist,1182.36,0998112665
352,First_352,Last_352,2000-07-20,Freelancer,954.35,0929097638
353,First_353,Last_353,1995-06-14,Driver,2258.55,0914286879
354,First_354,Last_354,1991-10-14,Teacher,2859.43,0950171703
355,First_355,Last_355,1982-01-19,Freelancer,2050.67,0936228624
356,First_356,Last_356,1983-07-02,Teacher,2598.5,0918109386
357,First_357,Last_357,1996-04-21,Freelancer,1314.3,0995167118
358,First_358,Last_358,1994-09-02,Artist,527.4,0955953019
359,First_359,Last_359,1985-05-20,Family Business Owner,2191.7,0928614608
360,First_360,Last_360,1984-12-25,Healthcare Worker,2100.06,0963445727
361,First_361,Last_361,1986-04-23,Healthcare Worker,1883.13,0969733380
362,First_362,Last_362,1991-08-27,Artist,2467.84,0983521374
363,First_363,Last_363,1997-05-07,Healthcare Worker,1927.37,0984635415
364,First_364,Last_364,1984-04-04,Office Worker,1593.07,0987865699
365,First_365,Last_365,1982-03-06,Office Worker,1014.27,0965991173
366,First_366,Last_366,2000-04-03,Driver,767.55,0945708032
367,First_367,Last_367,1998-12-17,Driver,1220.52,0929880755
368,First_368,Last_368,1985-03-21,Student,478.4,0942621329
370,First_370,Last_370,1985-01-08,Office Worker,2806.31,0991450756
371,First_371,Last_371,1991-01-26,Driver,2477.2,0925109189
372,First_372,Last_372,2002-12-19,Office Worker,959.85,0992144255
374,First_374,Last_374,1980-04-22,Retired/Unemployed,1799.72,0993186811
375,First_375,Last_375,1981-02-21,Office Worker,788.61,0991644147
376,First_376,Last_376,1989-03-18,Teacher,447.47,0989401400
377,First_377,Last_377,1991-10-05,Freelancer,1724.28,0946236255
378,First_378,Last_378,1984-07-08,Student,516.52,0914497057
379,First_379,Last_379,2003-08-21,Artist,2772.01,0971043969
380,First_380,Last_380,1995-03-09,Office Worker,1259.92,0974727509
381,First_381,Last_381,1995-09-02,Artist,1636.65,0913145696
382,First_382,Last_382,1992-11-02,Artist,1121.66,0950849408
383,First_383,Last_383,1981-12-09,Healthcare Worker,1273.14,0933734038
384,First_384,Last_384,1986-05-25,Retired/Unemployed,2717.56,0927589467
385,First_385,Last_385,1998-02-23,Manual Worker,2960.24,0983190295
386,First_386,Last_386,1987-02-10,Retired/Unemployed,430.04,0991190658
388,First_388,Last_388,2003-08-04,Retired/Unemployed,1643.55,0993117843
389,First_389,Last_389,1992-01-13,Retired/Unemployed,1091.76,0978247036
391,First_391,Last_391,1992-09-13,Manual Worker,573.86,0987736761
392,First_392,Last_392,1989-05-11,Office Worker,1412.33,0998587234
393,First_393,Last_393,1987-07-22,Healthcare Worker,1739.32,0915131091
394,First_394,Last_394,1991-03-19,Office Worker,880.14,0961967008
396,First_396,Last_396,1991-06-22,Artist,2389.29,0912507781
397,First_397,Last_397,1985-02-24,Office Worker,1983.14,0955664016
398,First_398,Last_398,1990-02-11,Manual Worker,2817.83,0935485180
399,First_399,Last_399,1982-02-07,Driver,898.17,0913887317
400,First_400,Last_400,2003-02-09,Manual Worker,219.08,0990596807
401,First_401,Last_401,1983-09-22,Retired/Unemployed,1425.8,0953037438
402,First_402,Last_402,2000-06-28,Manual Worker,1194.38,0940137771
403,First_403,Last_403,1997-08-20,Healthcare Worker,1244.19,0932920456
404,First_404,Last_404,1993-08-27,Retired/Unemployed,1466.11,0994837558
405,First_405,Last_405,1997-10-16,Manual Worker,1298.23,0917558072
406,First_406,Last_406,1981-03-01,Student,2503.87,0911517151
407,First_407,Last_407,1985-09-01,Teacher,1458.14,0954558679
408,First_408,Last_408,1995-02-27,Healthcare Worker,1743.38,0951933553
409,First_409,Last_409,1999-08-22,Retired/Unemployed,932.94,0934342137
410,First_410,Last_410,2000-11-17,Retired/Unemployed,916.97,0967594648
411,First_411,Last_411,1999-02-09,Healthcare Worker,2297.21,0997645106
412,First_412,Last_412,1981-06-29,Student,370.0,0942544613
414,First_414,Last_414,1996-06-25,Freelancer,344.24,0930377014
415,First_415,Last_415,1985-03-15,Retired/Unemployed,812.36,0964874201
416,First_416,Last_416,1996-04-01,Freelancer,2239.28,0923954843
417,First_417,Last_417,1994-04-15,Freelancer,2093.16,0924018358
418,First_418,Last_418,1980-07-17,Student,937.8,0969844355
419,First_419,Last_419,1987-10-25,Office Worker,1199.3,0921133937
420,First_420,Last_420,1990-07-08,Office Worker,2669.66,0952991975
422,First_422,Last_422,2001-06-08,Healthcare Worker,1852.51,0974168684
423,First_423,Last_423,1984-06-07,Manual Worker,2670.41,0959715111
424,First_424,Last_424,2003-01-13,Teacher,2530.72,0988350064
425,First_425,Last_425,1987-06-17,Driver,1755.1,0979646579
426,First_426,Last_426,1987-08-08,Driver,2923.31,0949892031
428,First_428,Last_428,1987-03-08,Student,235.1,0956724333
429,First_429,Last_429,1985-12-27,Office Worker,2532.34,0945600455
430,First_430,Last_430,1995-08-09,Healthcare Worker,579.12,0943574357
431,First_431,Last_431,1996-12-19,Student,390.42,0932921123
432,First_432,Last_432,1998-07-07,Student,1113.35,0993649057
434,First_434,Last_434,1994-03-26,Office Worker,1454.18,0999077672
435,First_435,Last_435,1985-02-03,Office Worker,354.61,0918195248
436,First_436,Last_436,1988-07-12,Teacher,2266.14,0930976840
437,First_437,Last_437,2003-03-17,Retired/Unemployed,2523.6,0960653721
438,First_438,Last_438,1983-12-18,Office Worker,1712.96,0916484084
440,First_440,Last_440,1989-03-05,Student,2529.53,0992385659
441,First_441,Last_441,1982-10-25,Teacher,1869.61,0927811280
442,First_442,Last_442,1999-04-15,Retired/Unemployed,2908.17,0993654758
443,First_443,Last_443,2000-09-12,Healthcare Worker,2229.92,0992439796
444,First_444,Last_444,1982-10-18,Teacher,1764.52,0962703032
445,First_445,Last_445,1990-06-17,Office Worker,254.07,0971777948
446,First_446,Last_446,1995-04-23,Retired/Unemployed,1684.6,0917717943
447,First_447,Last_447,1993-02-05,Manual Worker,1400.11,0958450258
449,First_449,Last_449,1996-06-28,Freelancer,1109.32,0942780194
450,First_450,Last_450,1999-05-16,Office Worker,1770.62,0917880674
451,First_451,Last_451,1999-12-25,Manual Worker,910.95,0954281258
452,First_452,Last_452,1992-12-31,Office Worker,2371.21,0929649870
453,First_453,Last_453,1994-08-11,Family Business Owner,2402.7,0983451729
454,First_454,Last_454,1988-10-27,Family Business Owner,2205.13,0973734154
455,First_455,Last_455,1986-09-20,Retired/Unemployed,2482.6,0994558881
456,First_456,Last_456,1988-01-06,Office Worker,2559.11,0991988534
457,First_457,Last_457,1998-01-10,Manual Worker,759.3,0956073432
458,First_458,Last_458,1989-06-22,Retired/Unemployed,2614.94,0974507337
459,First_459,Last_459,2003-07-29,Artist,1582.61,0911547052
461,First_461,Last_461,1981-08-26,Driver,2598.35,0935242954
462,First_462,Last_462,2001-08-25,Healthcare Worker,1718.54,0944911284
463,First_463,Last_463,1984-08-16,Artist,2229.16,0952626070
464,First_464,Last_464,1981-11-06,Student,725.15,0974818800
465,First_465,Last_465,1996-11-02,Retired/Unemployed,1255.34,0965481366
466,First_466,Last_466,1989-06-27,Office Worker,2911.32,0968099991
467,First_467,Last_467,1994-03-29,Family Business Owner,2421.59,0922090381
468,First_468,Last_468,1998-08-11,Freelancer,2006.92,0979447638
469,First_469,Last_469,1999-08-23,Healthcare Worker,2219.75,0951118167
471,First_471,Last_471,2001-11-29,Retired/Unemployed,1699.65,0942739324
472,First_472,Last_472,1989-11-21,Freelancer,2649.06,0939661148
473,First_473,Last_473,1996-01-30,Teacher,1069.96,0969812717
474,First_474,Last_474,2000-07-02,Freelancer,401.14,0950561678
475,First_475,Last_475,1998-02-16,Teacher,1043.56,0941627022
477,First_477,Last_477,1994-01-02,Artist,1498.68,0994799560
478,First_478,Last_478,1981-11-07,Student,2436.58,0945874296
479,First_479,Last_479,1996-08-14,Student,1439.96,0982447731
480,First_480,Last_480,1980-03-14,Family Business Owner,1392.78,0983137250
481,First_481,Last_481,1999-01-23,Artist,1353.34,0970180580
482,First_482,Last_482,1990-12-20,Office Worker,262.32,0950624378
483,First_483,Last_483,1980-08-29,Retired/Unemployed,2788.11,0974797020
